episode,frame,offset,remaining_m,mass,delta_mm,x_mm,y_mm,z_mm
0,142,-50,0.00284,0.3111,27.234,7.372,25.594,5.680
0,152,-40,-0.00302,0.3015,23.362,7.266,18.920,11.620
0,162,-30,-0.00235,0.3006,21.759,2.601,19.868,8.481
0,172,-20,-0.00285,0.2983,18.108,1.488,16.601,7.079
0,180,-12,0.00119,0.2930,17.443,3.027,16.651,4.225
0,186,-6,0.00156,0.2912,17.770,3.065,16.707,5.219
0,192,0,0.00000,0.2936,15.900,8.098,13.051,4.113
0,200,8,0.00000,0.2939,18.653,13.534,12.608,2.414
1,57,-50,0.08481,0.3003,57.126,22.682,23.533,46.853
1,67,-40,0.05066,0.2944,40.642,23.161,18.908,27.529
1,77,-30,0.02356,0.2874,23.454,17.334,13.135,8.781
1,87,-20,0.00661,0.2856,20.151,11.563,16.235,2.968
1,95,-12,-0.00031,0.2765,19.013,8.292,16.201,5.504
1,101,-6,-0.00002,0.2700,18.874,6.839,16.536,6.002
1,107,0,0.00000,0.2782,19.509,9.088,15.947,6.611
1,115,8,0.00000,0.2986,25.212,6.693,20.394,13.226
2,69,-50,0.02891,0.2951,16.999,6.685,9.931,12.069
2,79,-40,0.01331,0.2893,17.499,11.021,13.271,2.939
2,89,-30,0.00832,0.2842,20.697,14.768,14.258,2.644
2,99,-20,0.00698,0.2750,21.223,9.032,17.711,7.429
2,107,-12,0.00544,0.2830,18.074,6.329,16.177,4.989
2,113,-6,0.00116,0.2623,27.599,16.046,21.962,4.678
2,119,0,0.00000,0.2657,29.446,15.587,24.075,6.670
2,127,8,0.00000,0.2616,22.203,2.595,21.275,5.800
3,54,-50,0.03116,0.2974,22.121,10.227,11.285,16.044
3,64,-40,0.01420,0.2901,19.083,13.892,11.994,5.225
3,74,-30,0.00685,0.2837,15.872,11.367,10.315,4.037
3,84,-20,0.00182,0.2806,16.856,7.367,13.649,6.602
3,92,-12,-0.00016,0.2766,19.743,11.802,13.795,7.758
3,98,-6,-0.00004,0.2771,19.176,11.722,13.645,6.642
3,104,0,0.00000,0.2880,20.822,14.364,12.004,9.119
3,112,8,0.00000,0.2945,17.073,9.185,11.551,8.585
4,49,-50,0.07218,0.2983,46.198,12.787,5.911,43.997
4,59,-40,0.03499,0.2968,23.130,12.658,4.004,18.940
4,69,-30,0.02133,0.2942,19.176,14.182,10.225,7.876
4,79,-20,0.00582,0.2831,19.416,14.833,8.936,8.780
4,87,-12,0.00057,0.2776,22.938,11.532,10.890,16.570
4,93,-6,0.00142,0.2768,25.487,9.732,11.856,20.355
4,99,0,0.00000,0.2828,32.542,6.891,20.380,24.416
4,107,8,0.00000,0.2968,32.396,5.825,27.959,15.293
5,55,-50,0.09717,0.2956,56.916,17.751,12.045,52.719
5,65,-40,0.06507,0.2968,43.530,13.219,13.029,39.375
5,75,-30,0.03452,0.2823,24.507,9.403,15.533,16.460
5,85,-20,0.01399,0.2791,19.694,4.900,17.926,6.519
5,93,-12,0.00339,0.2731,19.138,3.075,17.879,6.093
5,99,-6,0.00099,0.2664,17.680,4.494,15.860,6.391
5,105,0,0.00000,0.2632,18.429,9.925,14.753,4.845
5,113,8,0.00000,0.2814,18.360,8.959,12.173,10.423
6,106,-50,0.02728,0.2884,20.811,8.231,18.005,6.416
6,116,-40,0.01704,0.2826,16.119,7.616,13.854,3.145
6,126,-30,0.01207,0.2798,12.752,6.502,9.999,4.513
6,136,-20,0.01035,0.2836,10.915,4.624,8.385,5.239
6,144,-12,0.00640,0.2813,23.914,10.432,18.150,11.560
6,150,-6,0.00036,0.2781,27.655,3.694,25.465,10.133
6,156,0,0.00000,0.2794,30.313,20.235,22.155,4.307
6,164,8,0.00000,0.2700,34.056,13.327,31.182,3.148
7,54,-50,0.09509,0.3008,61.357,13.660,13.295,58.321
7,64,-40,0.06459,0.2978,45.964,11.855,17.078,40.993
7,74,-30,0.03329,0.2916,29.638,11.412,18.498,20.150
7,84,-20,0.01054,0.2843,20.080,11.249,16.142,4.013
7,92,-12,0.00073,0.2837,17.797,10.646,13.255,5.264
7,98,-6,0.00051,0.2820,16.873,9.851,12.333,5.964
7,104,0,0.00000,0.2871,18.551,12.754,12.157,5.803
7,112,8,0.00000,0.2960,14.598,4.138,10.877,8.813
8,65,-50,0.06488,0.2911,43.725,15.682,14.405,38.189
8,75,-40,0.04061,0.2875,28.889,9.549,16.088,22.013
8,85,-30,0.01941,0.2895,22.056,11.635,16.776,8.346
8,95,-20,0.00182,0.2872,20.751,11.701,15.518,7.271
8,103,-12,0.00303,0.2838,19.103,12.248,13.096,6.590
8,109,-6,0.00328,0.2843,18.210,11.187,10.786,9.493
8,115,0,0.00000,0.2915,23.004,14.016,13.726,12.013
8,123,8,0.00000,0.2990,31.030,9.051,25.963,14.382
13,47,-50,0.04056,0.2951,29.293,10.717,15.287,22.573
13,57,-40,0.01969,0.2908,23.267,14.871,16.031,7.952
13,67,-30,0.00770,0.2837,22.377,16.355,14.403,5.079
13,77,-20,0.00579,0.2721,19.574,14.314,11.283,7.136
13,85,-12,0.00176,0.2749,17.512,9.190,13.603,6.096
13,91,-6,0.00072,0.2794,9.079,3.962,7.507,3.220
13,97,0,0.00000,0.2652,20.516,15.372,13.189,3.265
13,105,8,0.00000,0.2638,17.268,3.238,16.805,2.297
